Probe	Chromosome	Start	End	Feature
Chr4:55530477-55530477	4	55530477	55530477	Klf4
Chr4:55530501-55530501	4	55530501	55530501	Klf4
Chr4:55530505-55530505	4	55530505	55530505	Klf4
Chr4:55530521-55530521	4	55530521	55530521	Klf4
Chr4:55530527-55530527	4	55530527	55530527	Klf4
Chr4:55530542-55530542	4	55530542	55530542	Klf4
Chr4:55530555-55530555	4	55530555	55530555	Klf4
Chr4:55530573-55530573	4	55530573	55530573	Klf4
Chr4:55530585-55530585	4	55530585	55530585	Klf4
Chr4:55530595-55530595	4	55530595	55530595	Klf4
Chr6:30737609-30737609	6	30737609	30737609	Mest
Chr6:30737611-30737611	6	30737611	30737611	Mest
Chr6:30737624-30737624	6	30737624	30737624	Mest
Chr6:30737638-30737638	6	30737638	30737638	Mest
Chr6:30737666-30737666	6	30737666	30737666	Mest
Chr6:30737751-30737751	6	30737751	30737751	Mest
Chr6:30737790-30737790	6	30737790	30737790	Mest
Chr6:30737807-30737807	6	30737807	30737807	Mest
Chr6:30737809-30737809	6	30737809	30737809	Mest
Chr7:6730141-6730141	7	6730141	6730141	Peg3
Chr7:6730156-6730156	7	6730156	6730156	Peg3
Chr7:6730167-6730167	7	6730167	6730167	Peg3
Chr7:6730169-6730169	7	6730169	6730169	Peg3
Chr7:6730175-6730175	7	6730175	6730175	Peg3
Chr7:6730206-6730206	7	6730206	6730206	Peg3
Chr7:6730247-6730247	7	6730247	6730247	Peg3
Chr7:6730263-6730263	7	6730263	6730263	Peg3
Chr7:6730280-6730280	7	6730280	6730280	Peg3
Chr7:6730291-6730291	7	6730291	6730291	Peg3
Chr7:6730301-6730301	7	6730301	6730301	Peg3
Chr7:6730328-6730328	7	6730328	6730328	Peg3
Chr7:6730332-6730332	7	6730332	6730332	Peg3
Chr7:6730336-6730336	7	6730336	6730336	Peg3
Chr7:6730339-6730339	7	6730339	6730339	Peg3
Chr7:6730342-6730342	7	6730342	6730342	Peg3
Chr7:6730370-6730370	7	6730370	6730370	Peg3
Chr7:6730381-6730381	7	6730381	6730381	Peg3
Chr7:6730388-6730388	7	6730388	6730388	Peg3
Chr7:6730396-6730396	7	6730396	6730396	Peg3
Chr7:6730398-6730398	7	6730398	6730398	Peg3
Chr7:6730416-6730416	7	6730416	6730416	Peg3
Chr7:6730434-6730434	7	6730434	6730434	Peg3
Chr7:6730468-6730468	7	6730468	6730468	Peg3
Chr7:60005043-60005043	7	60005043	60005043	snrpn
Chr7:60005053-60005053	7	60005053	60005053	snrpn
Chr7:60005080-60005080	7	60005080	60005080	snrpn
Chr7:60005093-60005093	7	60005093	60005093	snrpn
Chr7:60005112-60005112	7	60005112	60005112	snrpn
Chr7:60005124-60005124	7	60005124	60005124	snrpn
Chr7:60005143-60005143	7	60005143	60005143	snrpn
Chr7:60005145-60005145	7	60005145	60005145	snrpn
Chr7:60005147-60005147	7	60005147	60005147	snrpn
Chr7:60005157-60005157	7	60005157	60005157	snrpn
Chr7:60005163-60005163	7	60005163	60005163	snrpn
Chr7:60005187-60005187	7	60005187	60005187	snrpn
Chr7:60005200-60005200	7	60005200	60005200	snrpn
Chr7:60005229-60005229	7	60005229	60005229	snrpn
Chr7:60005284-60005284	7	60005284	60005284	snrpn
Chr7:68144272-68144272	7	68144272	68144272	Igf1r
Chr7:68144298-68144298	7	68144298	68144298	Igf1r
Chr7:68144337-68144337	7	68144337	68144337	Igf1r
Chr7:68144369-68144369	7	68144369	68144369	Igf1r
Chr7:142581761-142581761	7	142581761	142581761	H19
Chr7:142581774-142581774	7	142581774	142581774	H19
Chr7:142581781-142581781	7	142581781	142581781	H19
Chr7:142581795-142581795	7	142581795	142581795	H19
Chr7:142581798-142581798	7	142581798	142581798	H19
Chr7:142581802-142581802	7	142581802	142581802	H19
Chr7:142581850-142581850	7	142581850	142581850	H19
Chr7:142581872-142581872	7	142581872	142581872	H19
Chr7:142581880-142581880	7	142581880	142581880	H19
Chr7:142582021-142582021	7	142582021	142582021	H19
Chr7:142582027-142582027	7	142582027	142582027	H19
Chr7:142582044-142582044	7	142582044	142582044	H19
Chr7:142582046-142582046	7	142582046	142582046	H19
Chr7:142582056-142582056	7	142582056	142582056	H19
Chr7:142582058-142582058	7	142582058	142582058	H19
Chr7:142582087-142582087	7	142582087	142582087	H19
Chr7:143295094-143295094	7	143295094	143295094	Kcnq1
Chr7:143295099-143295099	7	143295099	143295099	Kcnq1
Chr7:143295111-143295111	7	143295111	143295111	Kcnq1
Chr7:143295123-143295123	7	143295123	143295123	Kcnq1
Chr7:143295133-143295133	7	143295133	143295133	Kcnq1
Chr7:143295152-143295152	7	143295152	143295152	Kcnq1
Chr7:143295190-143295190	7	143295190	143295190	Kcnq1
Chr7:143295215-143295215	7	143295215	143295215	Kcnq1
Chr7:143295228-143295228	7	143295228	143295228	Kcnq1
Chr7:143295260-143295260	7	143295260	143295260	Kcnq1
Chr7:143295281-143295281	7	143295281	143295281	Kcnq1
Chr7:143295283-143295283	7	143295283	143295283	Kcnq1
Chr7:143295292-143295292	7	143295292	143295292	Kcnq1
Chr7:143295296-143295296	7	143295296	143295296	Kcnq1
Chr7:143295342-143295342	7	143295342	143295342	Kcnq1
Chr7:143295376-143295376	7	143295376	143295376	Kcnq1
Chr7:143295406-143295406	7	143295406	143295406	Kcnq1
Chr7:143295411-143295411	7	143295411	143295411	Kcnq1
Chr7:143295428-143295428	7	143295428	143295428	Kcnq1
Chr7:143295438-143295438	7	143295438	143295438	Kcnq1
Chr7:143295443-143295443	7	143295443	143295443	Kcnq1
Chr7:143295457-143295457	7	143295457	143295457	Kcnq1
Chr7:143295470-143295470	7	143295470	143295470	Kcnq1
Chr10:13091188-13091188	10	13091188	13091188	Plagl1
Chr10:13091193-13091193	10	13091193	13091193	Plagl1
Chr10:13091210-13091210	10	13091210	13091210	Plagl1
Chr10:13091215-13091215	10	13091215	13091215	Plagl1
Chr10:13091217-13091217	10	13091217	13091217	Plagl1
Chr10:13091231-13091231	10	13091231	13091231	Plagl1
Chr10:13091242-13091242	10	13091242	13091242	Plagl1
Chr10:13091253-13091253	10	13091253	13091253	Plagl1
Chr10:13091267-13091267	10	13091267	13091267	Plagl1
Chr10:13091284-13091284	10	13091284	13091284	Plagl1
Chr10:13091298-13091298	10	13091298	13091298	Plagl1
Chr10:13091317-13091317	10	13091317	13091317	Plagl1
Chr11:12025411-12025411	11	12025411	12025411	Grb10
Chr11:12025419-12025419	11	12025419	12025419	Grb10
Chr11:12025447-12025447	11	12025447	12025447	Grb10
Chr11:12025452-12025452	11	12025452	12025452	Grb10
Chr11:12025460-12025460	11	12025460	12025460	Grb10
Chr11:12025481-12025481	11	12025481	12025481	Grb10
Chr11:12025522-12025522	11	12025522	12025522	Grb10
Chr11:12025555-12025555	11	12025555	12025555	Grb10
Chr11:12025561-12025561	11	12025561	12025561	Grb10
Chr11:12025576-12025576	11	12025576	12025576	Grb10
Chr11:12025578-12025578	11	12025578	12025578	Grb10
Chr11:12025580-12025580	11	12025580	12025580	Grb10
Chr11:12025586-12025586	11	12025586	12025586	Grb10
Chr11:12025597-12025597	11	12025597	12025597	Grb10
Chr11:12025602-12025602	11	12025602	12025602	Grb10
Chr11:12025609-12025609	11	12025609	12025609	Grb10
Chr11:12025614-12025614	11	12025614	12025614	Grb10
Chr11:12025621-12025621	11	12025621	12025621	Grb10
Chr11:12025625-12025625	11	12025625	12025625	Grb10
Chr11:12025628-12025628	11	12025628	12025628	Grb10
Chr11:12025639-12025639	11	12025639	12025639	Grb10
Chr11:12025644-12025644	11	12025644	12025644	Grb10
Chr11:12025655-12025655	11	12025655	12025655	Grb10
Chr11:12025657-12025657	11	12025657	12025657	Grb10
Chr11:12025665-12025665	11	12025665	12025665	Grb10
Chr11:12025670-12025670	11	12025670	12025670	Grb10
Chr11:12025676-12025676	11	12025676	12025676	Grb10
Chr11:12025686-12025686	11	12025686	12025686	Grb10
Chr11:12025692-12025692	11	12025692	12025692	Grb10
Chr11:12025694-12025694	11	12025694	12025694	Grb10
Chr11:12025700-12025700	11	12025700	12025700	Grb10
Chr11:22971952-22971952	11	22971952	22971952	Commd1
Chr11:22971975-22971975	11	22971975	22971975	Commd1
Chr11:22971982-22971982	11	22971982	22971982	Commd1
Chr11:22971999-22971999	11	22971999	22971999	Commd1
Chr11:22972010-22972010	11	22972010	22972010	Commd1
Chr11:22972036-22972036	11	22972036	22972036	Commd1
Chr11:22972054-22972054	11	22972054	22972054	Commd1
Chr11:22972082-22972082	11	22972082	22972082	Commd1
Chr11:22972093-22972093	11	22972093	22972093	Commd1
Chr11:22972112-22972112	11	22972112	22972112	Commd1
Chr11:22972120-22972120	11	22972120	22972120	Commd1
Chr11:22972127-22972127	11	22972127	22972127	Commd1
Chr11:22972131-22972131	11	22972131	22972131	Commd1
Chr12:109528253-109528253	12	109528253	109528253	Dlk1
Chr12:109528257-109528257	12	109528257	109528257	Dlk1
Chr12:109528270-109528270	12	109528270	109528270	Dlk1
Chr12:109528275-109528275	12	109528275	109528275	Dlk1
Chr12:109528299-109528299	12	109528299	109528299	Dlk1
Chr12:109528306-109528306	12	109528306	109528306	Dlk1
Chr12:109528329-109528329	12	109528329	109528329	Dlk1
Chr12:109528345-109528345	12	109528345	109528345	Dlk1
Chr12:109528347-109528347	12	109528347	109528347	Dlk1
Chr12:109528355-109528355	12	109528355	109528355	Dlk1
Chr12:109528365-109528365	12	109528365	109528365	Dlk1
Chr12:109528375-109528375	12	109528375	109528375	Dlk1
Chr12:109528378-109528378	12	109528378	109528378	Dlk1
Chr12:109528391-109528391	12	109528391	109528391	Dlk1
Chr12:109528396-109528396	12	109528396	109528396	Dlk1
Chr12:109528398-109528398	12	109528398	109528398	Dlk1
Chr12:109528403-109528403	12	109528403	109528403	Dlk1
Chr12:109528412-109528412	12	109528412	109528412	Dlk1
Chr12:109528414-109528414	12	109528414	109528414	Dlk1
Chr12:109528419-109528419	12	109528419	109528419	Dlk1
Chr12:109528421-109528421	12	109528421	109528421	Dlk1
Chr12:109528426-109528426	12	109528426	109528426	Dlk1
Chr12:109528429-109528429	12	109528429	109528429	Dlk1
Chr12:109528442-109528442	12	109528442	109528442	Dlk1
Chr12:109528444-109528444	12	109528444	109528444	Dlk1
Chr12:109528449-109528449	12	109528449	109528449	Dlk1
Chr12:109528452-109528452	12	109528452	109528452	Dlk1
Chr12:109528462-109528462	12	109528462	109528462	Dlk1
Chr12:109528471-109528471	12	109528471	109528471	Dlk1
Chr15:93500632-93500632	15	93500632	93500632	Prickle1
Chr15:93500642-93500642	15	93500642	93500642	Prickle1
Chr15:93500651-93500651	15	93500651	93500651	Prickle1
Chr15:93500660-93500660	15	93500660	93500660	Prickle1
Chr15:93500665-93500665	15	93500665	93500665	Prickle1
Chr15:93500668-93500668	15	93500668	93500668	Prickle1
Chr15:93500677-93500677	15	93500677	93500677	Prickle1
Chr15:93500694-93500694	15	93500694	93500694	Prickle1
Chr15:93500719-93500719	15	93500719	93500719	Prickle1
Chr15:93500729-93500729	15	93500729	93500729	Prickle1
Chr15:93500761-93500761	15	93500761	93500761	Prickle1
Chr17:12742173-12742173	17	12742173	12742173	Igf2r
Chr17:12742192-12742192	17	12742192	12742192	Igf2r
Chr17:12742194-12742194	17	12742194	12742194	Igf2r
Chr17:12742202-12742202	17	12742202	12742202	Igf2r
Chr17:12742205-12742205	17	12742205	12742205	Igf2r
Chr17:12742217-12742217	17	12742217	12742217	Igf2r
Chr17:12742225-12742225	17	12742225	12742225	Igf2r
Chr17:12742236-12742236	17	12742236	12742236	Igf2r
Chr17:12742245-12742245	17	12742245	12742245	Igf2r
Chr17:12742270-12742270	17	12742270	12742270	Igf2r
Chr17:12742306-12742306	17	12742306	12742306	Igf2r
Chr17:12742324-12742324	17	12742324	12742324	Igf2r
Chr17:12742348-12742348	17	12742348	12742348	Igf2r
Chr17:12742357-12742357	17	12742357	12742357	Igf2r
Chr17:12742359-12742359	17	12742359	12742359	Igf2r
Chr17:12742367-12742367	17	12742367	12742367	Igf2r
Chr17:12742376-12742376	17	12742376	12742376	Igf2r
Chr17:12742382-12742382	17	12742382	12742382	Igf2r
Chr17:12742384-12742384	17	12742384	12742384	Igf2r
Chr17:12742399-12742399	17	12742399	12742399	Igf2r
Chr17:12742414-12742414	17	12742414	12742414	Igf2r
Chr17:12742420-12742420	17	12742420	12742420	Igf2r
Chr17:12742453-12742453	17	12742453	12742453	Igf2r
Chr17:12742455-12742455	17	12742455	12742455	Igf2r
Chr17:12742478-12742478	17	12742478	12742478	Igf2r
Chr17:12742488-12742488	17	12742488	12742488	Igf2r
Chr18:12972868-12972868	18	12972868	12972868	Impact
Chr18:12972872-12972872	18	12972872	12972872	Impact
Chr18:12972897-12972897	18	12972897	12972897	Impact
Chr18:12972940-12972940	18	12972940	12972940	Impact
Chr18:12972971-12972971	18	12972971	12972971	Impact
Chr18:12973000-12973000	18	12973000	12973000	Impact
Chr18:12973031-12973031	18	12973031	12973031	Impact
Chr18:12973033-12973033	18	12973033	12973033	Impact
Chr18:12973036-12973036	18	12973036	12973036	Impact
Chr18:12973038-12973038	18	12973038	12973038	Impact
Chr18:12973048-12973048	18	12973048	12973048	Impact
Chr18:12973117-12973117	18	12973117	12973117	Impact
Chr18:12973131-12973131	18	12973131	12973131	Impact
Chr18:12973140-12973140	18	12973140	12973140	Impact
Chr18:12973155-12973155	18	12973155	12973155	Impact
